microbe,status,taxonomy_level,nonzero_fraction,mean_nonzero_abund,std_abund,prevalence_datasets,cv_across_datasets,mean_MI_with_target
k__Bacteria.1,kept,unknown,0.00502045370026032,33.074074074074076,4.229969154389656,0.16666666666666666,3.2806475601852303,0.024425739821004096
k__Bacteria.10,kept,unknown,0.0042766827817032355,134.6086956521739,14.909806943279989,0.1,3.595586208439987,0.015485211935836162
k__Bacteria.100,kept,unknown,0.051320193380438826,40.289855072463766,13.132331464288718,0.06666666666666667,5.181307624660722,0.016644013081085273
k__Bacteria.101,kept,unknown,0.002045370026031982,174.45454545454547,11.51787231474011,0.06666666666666667,4.552541030912534,0.015154990964044749
k__Bacteria.102,kept,unknown,0.0026031982149497955,11.928571428571429,0.6964153070801091,0.06666666666666667,3.8058510704470887,0.03589305169160387
k__Bacteria.103,kept,unknown,0.004090740052063964,98.81818181818181,11.983011216263638,0.06666666666666667,3.9578234350089336,0.020041481382189478
k__Bacteria.104,kept,unknown,0.03904797322424693,45.02857142857143,19.33677991841807,0.06666666666666667,5.2159651397005256,0.0207842392308566
k__Bacteria.105,kept,unknown,0.017478616586091483,12.904255319148936,2.3244945669912824,0.06666666666666667,5.0551701511550755,0.013869875739969287
k__Bacteria.106,kept,unknown,0.007437709185570844,83.225,17.65144274225224,0.06666666666666667,4.224221349448675,0.019765362495534948
k__Bacteria.107,kept,unknown,0.00167348456675344,76.22222222222223,5.631589746042713,0.06666666666666667,3.835633828084065,0.013217670358716852
k__Bacteria.108,kept,unknown,0.0042766827817032355,254.95652173913044,28.94232521377956,0.06666666666666667,4.015570527745256,0.011830497414864239
k__Bacteria.109,kept,unknown,0.00334696913350688,75.05555555555556,9.318368488412132,0.06666666666666667,3.835633828084065,0.01686863391876606
k__Bacteria.11,kept,unknown,0.02026775753068055,223.045871559633,53.152151776036725,0.13333333333333333,3.8748543193235316,0.015357737392188627
k__Bacteria.110,kept,unknown,0.0026031982149497955,236.78571428571428,20.249042864697913,0.06666666666666667,3.8058510704470887,0.01241522152496671
k__Bacteria.111,kept,unknown,0.0024172554853105245,55.15384615384615,4.89775331337771,0.06666666666666667,3.8412246109288315,0.016433886320175617
k__Bacteria.112,kept,unknown,0.0014875418371141688,124.375,8.921359065866898,0.06666666666666667,3.8946219940608207,0.01894238411942299
k__Bacteria.113,kept,unknown,0.002045370026031982,229.0,13.53153025350455,0.06666666666666667,4.552541030912534,0.013352340049151883
k__Bacteria.114,kept,unknown,0.0042766827817032355,31.217391304347824,3.389152856930617,0.06666666666666667,3.864127653270999,0.013329352251782911
k__Bacteria.115,kept,unknown,0.0042766827817032355,262.1304347826087,25.318709409751136,0.06666666666666667,4.596624300646545,0.00850559229152934
k__Bacteria.116,kept,unknown,0.011342506507995537,55.80327868852459,10.340200186521923,0.06666666666666667,4.024980273997253,0.015714910497861823
k__Bacteria.117,kept,unknown,0.011528449237634809,22.580645161290324,7.803371567491109,0.06666666666666667,4.700806850347036,0.01864382817902689
k__Bacteria.118,kept,unknown,0.03291186314615099,51.42372881355932,39.23518713504416,0.06666666666666667,5.243367608201198,0.01108493730951526
k__Bacteria.119,kept,unknown,0.0011156563778356265,219.5,10.725656308638374,0.06666666666666667,4.1771512800945825,0.01194814811301248
k__Bacteria.12,kept,unknown,0.003532911863146151,34.21052631578947,4.458630104184217,0.13333333333333333,2.674753145906937,0.020469293753749396
k__Bacteria.120,kept,unknown,0.003532911863146151,280.7368421052632,22.140293709544377,0.06666666666666667,4.685422392007832,0.01480597117088649
k__Bacteria.121,kept,unknown,0.0027891409445890665,189.33333333333334,13.973967270056578,0.06666666666666667,4.6368990874936875,0.01647848866367037
k__Bacteria.122,kept,unknown,0.02882112309408702,31.529032258064515,9.273359516151022,0.06666666666666667,5.12996784561368,0.02194663261496499
k__Bacteria.123,kept,unknown,0.00669393826701376,16.805555555555557,2.2468517975730733,0.06666666666666667,4.52869664246207,0.035649839187220825
